"C4R4MNOR"	"C4R4MSCL"	"C4R4MTSC"	"C4R4MTHT"	"C4R4MSET"	"C5R4MNR3"	"C5R4MSCL"	"C5R4MTSC"	"C5R4MTHT"	"C5R4MSET"	"P5MOMCOB"	"P5DADCOB"	"P4MOMCOB"	"P4DADCOB"	"P5MAGEUS"	"P5DAGEUS"	"P4MAGEUS"	"P4DAGEUS"	"P2CHPLAC"	"C1SCTOT"	"W1RACETH"	"P4HISPBD"	"P4ASIABD"	"P4HISPBD.1"	"P5MOMCOB.1"	"P4MOMCOB.1"	"R2_KAGE"	"GENDER"	"P1HFAMIL"	"P2HFAMIL"	"P1HPARNT"	"P2HPARNT"	"P1NUMSIB"	"P2NUMSIB"	"P2INCOME"	"P1HIG_2"	"S2CHCARE"	"U2REPEAT"	"F2CLASS"	"A2ATTOPN"	"P2ATTENP"	"P2PARGRP"	"T2INFMTS"	"C7SPORTS"	"C7ARTS"	"P2NOENGL"	"P4LIBRAR"	"P2MUSEUM"	"P2CONCRT"	"P3ARTSCI"	"P5ZOO"	"P5SPTEVT"	"S2KPUPRI"	"S2KPUPRI.1"	"BYCW0"	"BYPW0"	"BYCPTW0"	"BYCOMW0"	"P1PRIMPK"	"W3RACETH"	"RACE"
"23"	9	48.38	44.798	0.171	0.171	8	86.5	46.596	1.084	0.117	1	44	1	-1	-1	4	-1	-1	1	-1	1	-1	-1	-1	1	1	81.97	1	2	2	1	1	0	0	18000	16	1	-2	1	5	2	1	1	NA	NA	2	2	2	2	NA	2	2	1	1	224.11426	290.46135	274.14736	232.67644	6	1	1
"24"	10	48.84	45.118	0.197	0.146	8	104.92	52.997	1.431	0.118	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.73	1	1	1	1	1	1	1	41000	13	1	-2	1	5	2	1	1	NA	NA	2	2	2	2	NA	2	2	1	1	224.11426	290.46135	274.14736	232.67644	1	1	1
"25"	11	53.35	48.009	0.341	0.143	9	89.95	47.815	1.185	0.122	1	-1	1	-1	-1	-1	-1	-1	1	-1	8	-1	-1	-1	1	1	69.67	2	3	3	4	4	1	1	-8	-1	1	-2	1	5	2	1	1	NA	NA	2	1	2	2	NA	1	2	1	1	205.26495	275.92792	292.16709	244.5374	7	8	8
"31"	13	58.74	51.062	0.515	0.142	11	116.75	57.312	1.644	0.124	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	74.93	2	1	1	1	1	2	2	55000	14	1	-2	1	4	1	1	1	2	4	2	2	2	2	NA	2	2	1	1	224.11426	290.46135	274.14736	232.67644	7	1	1
"32"	13	76.49	58.796	0.924	0.147	14	124.62	60.392	1.765	0.138	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	84.8	1	1	1	1	1	3	3	24000	17	1	-2	2	5	2	1	1	1	4	2	1	2	1	NA	2	2	1	1	224.11426	290.46135	274.14736	232.67644	5	1	1
"35"	16	93.95	64.556	1.233	0.165	14	117.31	57.528	1.618	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	85.07	2	2	2	1	1	0	0	-8	13	1	-2	1	5	2	1	1	2	4	2	2	2	2	NA	2	2	1	1	224.11426	290.46135	274.14736	232.67644	0	1	1
"37"	12	54.54	48.717	0.38	0.143	7	84.64	45.93	1.05	0.118	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73.23	2	1	1	1	1	1	1	-8	13	1	-2	2	4	1	1	1	2	4	2	1	1	1	NA	2	1	1	1	224.11426	290.46135	274.14736	232.67644	2	1	1
"41"	12	60.58	52.017	0.557	0.142	8	88.3	47.235	1.141	0.116	1	1	1	-1	-1	-1	-1	-1	1	-1	3	-1	-1	-1	1	1	73.47	2	3	3	4	4	2	2	-8	-1	1	-2	1	4	2	1	1	1	2	2	2	2	2	NA	2	2	1	1	167.2746	219.89189	214.50522	173.66525	0	3	3
"43"	10	48.29	44.739	0.174	0.147	7	86.81	46.708	1.103	0.118	NA	NA	1	-1	NA	NA	-1	-1	1	-1	1	-1	-1	-1	NA	1	79.73	2	1	1	1	1	1	1	-8	-1	1	-2	1	4	2	1	1	1	3	2	2	2	2	NA	NA	NA	1	1	167.2746	216.7948	204.61835	173.66525	5	NA	1
"46"	NA	NA	NA	NA	NA	6	96.87	50.209	1.284	0.128	1	1	NA	NA	-1	-1	NA	NA	1	-1	NA	NA	NA	NA	1	NA	77.2	2	1	1	2	2	1	1	7000	11	1	-2	2	4	1	2	1	1	3	1	NA	1	1	NA	2	2	1	1	167.2746	216.7948	204.61835	173.66525	7	1	1
