"C4R4MNOR"	"C4R4MSCL"	"C4R4MTSC"	"C4R4MTHT"	"C4R4MSET"	"C5R4MNR3"	"C5R4MSCL"	"C5R4MTSC"	"C5R4MTHT"	"C5R4MSET"	"P5MOMCOB"	"P5DADCOB"	"P4MOMCOB"	"P4DADCOB"	"P5MAGEUS"	"P5DAGEUS"	"P4MAGEUS"	"P4DAGEUS"	"P2CHPLAC"	"C1SCTOT"	"W1RACETH"	"P4HISPBD"	"P4ASIABD"	"P4HISPBD.1"	"P5MOMCOB.1"	"P4MOMCOB.1"	"R2_KAGE"	"GENDER"	"P1HFAMIL"	"P2HFAMIL"	"P1HPARNT"	"P2HPARNT"	"P1NUMSIB"	"P2NUMSIB"	"P2INCOME"	"P1HIG_2"	"S2CHCARE"	"U2REPEAT"	"F2CLASS"	"A2ATTOPN"	"P2ATTENP"	"P2PARGRP"	"T2INFMTS"	"C7SPORTS"	"C7ARTS"	"P2NOENGL"	"P4LIBRAR"	"P2MUSEUM"	"P2CONCRT"	"P3ARTSCI"	"P5ZOO"	"P5SPTEVT"	"S2KPUPRI"	"S2KPUPRI.1"	"BYCW0"	"BYPW0"	"BYCPTW0"	"BYCOMW0"	"P1PRIMPK"	"W3RACETH"	"RACE"
"2760"	12	63.86	53.612	0.641	0.142	8	89.94	47.812	1.193	0.116	1	247	1	-1	-1	20	-1	-1	2	-1	1	-1	-1	-1	1	1	77	2	1	1	1	1	1	1	150000	21	1	-2	3	5	2	1	1	3	2	2	2	1	2	NA	2	2	2	2	204.46188	216.23817	212.7842	211.31385	6	1	1
"2761"	14	86.23	62.116	1.096	0.156	15	129.67	62.466	1.855	0.141	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.27	1	1	1	1	1	2	2	150000	22	1	-2	3	5	2	1	3	NA	NA	2	1	1	2	1	2	1	2	2	204.46188	204.07787	212.7842	211.31385	6	1	1
"2763"	16	93.27	64.347	1.221	0.164	16	135.13	64.791	1.996	0.145	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78.97	1	1	1	1	1	1	1	1e+05	20	1	-2	3	5	2	1	3	NA	NA	2	1	1	2	2	2	1	2	2	204.46188	216.23817	212.7842	211.31385	6	1	1
"2764"	14	69.13	55.942	0.774	0.143	7	87.79	47.057	1.097	0.122	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	83.07	1	1	1	1	1	1	1	110000	22	1	-2	3	5	2	1	3	NA	NA	2	2	2	1	NA	2	2	2	2	204.46188	216.23817	212.7842	211.31385	3	1	1
"2765"	15	93.89	64.54	1.233	0.165	8	92.46	48.69	1.233	0.115	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	76.53	1	2	2	1	1	0	0	-7	18	1	-2	3	5	2	1	3	3	3	2	1	1	1	1	2	1	2	2	204.46188	216.23817	212.7842	211.31385	6	1	1
"2766"	14	70.76	56.609	0.802	0.143	7	100.51	51.461	1.322	0.123	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	77.7	2	4	4	4	4	0	0	32000	-1	1	-2	3	5	2	1	3	NA	NA	2	2	2	2	1	2	2	2	2	204.46188	216.23817	212.7842	211.31385	6	1	1
"2768"	15	85.63	61.921	1.087	0.155	14	117	57.408	1.611	0.136	1	1	1	-1	-1	-1	-1	-1	2	-1	3	4	-1	4	1	1	71.23	1	1	1	6	6	1	1	1e+05	22	1	-2	3	5	2	1	3	NA	NA	2	1	1	2	NA	2	1	2	2	204.46188	204.07787	212.7842	211.31385	6	3	3
"2769"	16	123.22	74.165	1.745	0.228	17	148.09	70.846	2.26	0.164	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	82.03	1	1	1	1	1	2	2	80000	22	1	-2	3	5	2	1	1	2	2	2	1	1	2	1	2	1	2	2	204.46188	216.23817	212.7842	211.31385	6	1	1
"2770"	16	81.22	60.456	1.017	0.151	13	123.17	59.815	1.714	0.138	1	113	1	-1	-1	18	-1	-1	1	-1	1	-1	-1	-1	1	1	76.43	2	1	1	1	1	1	1	45000	18	1	-2	3	5	2	1	1	NA	NA	2	1	2	2	NA	2	2	2	2	204.46188	204.07787	212.7842	211.31385	6	1	1
"2771"	16	77.95	59.32	0.958	0.148	14	126.76	61.262	1.803	0.139	15	1	15	-1	40	-1	40	-1	1	-1	1	-1	-1	-1	15	15	76.03	2	2	2	1	1	0	0	-7	21	1	-2	3	5	1	1	1	NA	NA	2	1	1	1	1	2	2	2	2	204.46188	204.07787	212.7842	211.31385	6	1	1
"2772"	14	70.29	56.418	0.794	0.143	15	145.72	69.665	2.212	0.159	191	191	191	-1	19	16	19	-1	1	-1	5	-1	3	-1	191	191	71.93	2	1	1	1	1	1	1	-7	19	1	-2	3	5	2	1	1	NA	NA	2	1	1	1	NA	1	2	2	2	204.46188	204.07787	212.7842	211.31385	1	5	5
"2773"	12	67.04	55.05	0.732	0.142	13	120.51	58.762	1.677	0.137	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	77.67	1	1	1	1	1	1	1	-7	16	1	-2	3	5	1	1	1	NA	NA	2	1	1	2	1	1	1	2	2	204.46188	216.23817	212.7842	211.31385	6	1	1
"2774"	13	58.86	51.124	0.518	0.142	7	86.72	46.675	1.075	0.117	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	81.7	2	1	1	1	1	2	2	75000	20	1	-2	3	5	1	1	1	1	4	2	1	1	2	NA	2	1	2	2	204.46188	216.23817	212.7842	211.31385	6	1	1
"2775"	11	57.04	50.143	0.467	0.142	11	98.71	50.84	1.308	0.114	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	75.5	2	1	1	1	1	2	2	-7	22	1	-2	3	5	1	1	3	NA	NA	2	1	1	2	1	2	1	2	2	204.46188	204.07787	212.7842	211.31385	6	1	1
"2776"	12	57.06	50.152	0.467	0.142	11	113.61	56.131	1.577	0.121	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.77	1	2	2	1	1	0	0	-7	18	1	-2	3	5	2	1	1	1	4	2	2	1	2	2	2	2	2	2	204.46188	204.07787	212.7842	211.31385	6	1	1
"2777"	14	73.38	57.637	0.851	0.145	10	103.76	52.593	1.393	0.115	1	247	1	-1	-1	20	-1	-1	2	-1	1	-1	-1	-1	1	1	77	2	1	1	1	1	1	1	150000	21	1	-2	3	5	2	1	1	2	3	2	2	1	2	NA	2	2	2	2	204.46188	216.23817	212.7842	211.31385	6	1	1
"2778"	13	67.06	55.059	0.733	0.142	9	105.47	53.19	1.43	0.125	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	80.17	2	1	1	1	1	1	1	110000	19	1	-2	3	5	1	1	1	3	2	2	2	1	2	NA	2	2	2	2	254.32091	308.12401	279.93943	261.32268	2	1	1
"2779"	14	70.21	56.388	0.793	0.143	7	104.4	52.816	1.42	0.115	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.97	2	1	1	1	1	1	1	140000	18	1	-2	3	5	1	1	3	NA	NA	2	2	2	1	NA	2	1	2	2	254.32091	290.79645	279.93943	261.32268	4	1	1
"2780"	14	96.38	65.312	1.27	0.169	11	117.15	57.467	1.653	0.138	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.8	2	2	2	1	1	0	0	130000	19	1	-2	3	5	1	1	1	3	3	1	2	1	1	NA	2	2	2	2	254.32091	290.79645	279.93943	261.32268	6	1	1
"2781"	12	57.07	50.159	0.467	0.142	10	99.87	51.242	1.31	0.114	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	75.97	1	4	4	4	4	0	0	21000	-1	1	-2	3	5	1	1	1	NA	NA	2	1	1	2	NA	1	1	2	2	254.32091	290.79645	279.93943	261.32268	2	1	1
"2782"	13	56.55	49.871	0.452	0.142	7	76.08	42.666	0.949	0.125	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	82.2	1	1	1	1	1	3	3	40000	20	1	-2	3	5	1	1	1	NA	NA	2	2	2	1	NA	2	1	2	2	254.32091	308.12401	279.93943	261.32268	6	1	1
"2783"	13	67.75	55.36	0.736	0.142	10	122.89	59.7	1.742	0.138	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	82.33	2	2	2	1	1	0	0	44000	18	1	-2	3	5	1	1	3	1	4	2	2	2	2	NA	2	2	2	2	254.32091	308.12401	279.93943	261.32268	6	1	1
"2784"	16	95.33	64.986	1.256	0.167	17	140.43	67.157	2.054	0.154	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	83	1	1	1	1	1	1	1	150000	18	1	-2	3	5	1	1	1	3	3	2	1	2	2	NA	2	1	2	2	254.32091	308.12401	279.93943	261.32268	6	1	1
"2785"	11	55.37	49.2	0.41	0.142	10	94.26	49.311	1.248	0.115	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73.53	2	1	1	1	1	1	1	44000	13	1	-2	3	5	1	1	3	NA	NA	2	2	1	2	NA	2	2	2	2	254.32091	290.79645	279.93943	261.32268	4	1	1
"2786"	16	97.33	65.609	1.289	0.17	12	116.31	57.144	1.598	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	70	2	1	1	1	1	1	1	150000	18	1	-2	3	5	1	1	1	2	2	2	1	2	1	NA	1	1	2	2	254.32091	290.79645	279.93943	261.32268	2	1	1
"2787"	13	69.98	56.294	0.789	0.143	11	116.51	57.22	1.606	0.132	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.43	2	1	1	1	1	2	2	-8	15	1	-2	3	5	1	1	1	3	3	2	1	2	2	NA	2	1	2	2	254.32091	290.79645	279.93943	261.32268	6	1	1
"2790"	15	84.57	61.576	1.07	0.154	8	81.63	44.821	1.038	0.12	1	1	1	-1	-1	-1	-1	-1	1	-1	2	-1	-1	-1	1	1	79.6	2	1	1	2	2	1	2	-7	13	1	-2	3	4	1	1	3	3	3	2	1	2	2	NA	1	2	2	2	254.32091	308.12401	279.93943	261.32268	6	2	2
"2791"	13	71.92	57.073	0.823	0.144	7	74.93	42.195	0.912	0.126	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	76.27	2	1	1	1	1	1	1	50000	13	1	-2	3	4	1	1	3	NA	NA	2	2	2	2	NA	1	1	2	2	254.32091	290.79645	279.93943	261.32268	4	1	1
"2793"	14	88.18	62.742	1.129	0.158	8	93.27	48.967	1.248	0.115	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	70.63	2	1	1	1	1	1	1	1e+05	11	1	-2	3	4	1	1	-9	NA	NA	2	2	2	2	NA	2	2	2	2	254.32091	290.79645	279.93943	261.32268	6	1	1
"2796"	16	89.89	63.284	1.161	0.16	16	134.14	64.364	1.919	0.144	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	79.73	1	4	2	4	1	0	0	110000	-1	1	-2	3	4	1	1	-9	1	2	1	1	2	1	NA	2	1	2	2	254.32091	308.12401	279.93943	261.32268	6	1	1
"2797"	12	54.87	48.912	0.391	0.143	12	104.14	52.722	1.404	0.125	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	70.6	2	2	2	1	1	0	0	64000	13	1	-2	3	4	1	1	1	2	1	2	2	2	2	NA	2	1	2	2	254.32091	290.79645	279.93943	261.32268	6	1	1
"2798"	14	72.81	57.42	0.84	0.144	11	111.86	55.485	1.532	0.128	131	1	131	-1	3	-1	3	-1	1	-1	8	-1	5	-1	131	131	74.83	2	2	2	1	1	0	0	55000	17	1	-2	3	4	1	1	1	2	4	2	2	2	2	NA	2	2	2	2	254.32091	290.79645	279.93943	261.32268	6	8	8
"2800"	15	99.94	66.421	1.331	0.174	15	140.22	67.06	2.098	0.15	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	79.47	1	1	1	1	1	1	1	70000	18	1	-2	3	4	1	1	3	NA	NA	2	2	2	2	NA	2	1	2	2	254.32091	308.12401	279.93943	261.32268	4	1	1
"2801"	15	96.51	65.354	1.277	0.169	14	121.89	59.304	1.752	0.137	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78.87	2	1	1	1	1	1	1	90000	13	1	-2	3	4	1	1	3	1	1	2	2	1	1	NA	2	2	2	2	254.32091	308.12401	279.93943	261.32268	4	1	1
"2803"	14	69.79	56.213	0.786	0.143	13	126.21	61.036	1.785	0.139	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	75	1	1	1	1	1	1	1	28000	14	1	-2	2	4	2	1	3	NA	NA	2	1	2	2	NA	2	2	1	1	329.41264	380.79171	371.33953	346.8933	5	1	1
"2804"	13	64.03	53.695	0.648	0.142	13	137.31	65.753	2.021	0.147	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	74.73	1	1	1	1	1	1	1	26000	13	1	-2	1	4	1	1	3	-9	-9	2	1	2	2	NA	2	1	1	1	329.41264	380.79171	371.33953	346.8933	2	1	1
"2806"	16	123.49	74.264	1.751	0.229	16	152.58	73.237	2.368	0.174	1	73	1	-1	-1	36	-1	-1	1	-1	1	-1	-1	-1	1	1	72.1	1	2	2	2	2	0	0	31000	15	1	-2	1	4	2	1	3	3	3	2	2	2	2	NA	1	1	1	1	329.41264	380.79171	371.33953	346.8933	4	1	1
"2808"	11	54.52	48.708	0.379	0.143	11	113.31	56.022	1.57	0.121	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73.83	2	1	1	1	1	1	1	-7	17	1	-2	2	4	2	2	3	NA	NA	2	2	2	2	NA	2	2	1	1	329.41264	380.79171	358.00611	346.8933	6	1	1
"2809"	12	54.06	48.434	0.363	0.143	11	112.08	55.567	1.553	0.12	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	74.23	1	1	1	1	1	2	2	-7	13	1	-2	2	4	1	1	3	2	4	2	1	2	2	NA	2	1	1	1	329.41264	380.79171	371.33953	346.8933	6	1	1
"2812"	13	59.65	51.538	0.537	0.142	12	104.76	52.941	1.413	0.137	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.87	1	1	1	1	1	1	1	-8	10	1	-2	2	4	2	1	3	NA	NA	2	1	2	2	NA	2	2	1	1	329.41264	380.79171	371.33953	346.8933	5	1	1
"2814"	14	82.26	60.808	1.032	0.151	14	132.65	63.72	1.9	0.143	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	75.1	2	1	1	1	1	3	3	-8	20	1	-2	1	4	1	1	3	NA	NA	2	1	1	1	NA	1	1	1	1	329.41264	380.79171	358.00611	346.8933	0	1	1
"2818"	12	67.29	55.162	0.738	0.142	14	116.73	57.304	1.6	0.136	NA	NA	1	-1	NA	NA	-1	-1	1	-1	4	1	-1	1	NA	1	79.23	2	1	1	2	2	1	1	46000	17	1	-2	2	4	1	1	3	NA	NA	2	1	1	1	NA	NA	NA	1	1	329.41264	380.79171	361.14841	346.8933	4	NA	4
"2819"	14	75.03	58.26	0.889	0.146	13	114.88	56.607	1.564	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	76.97	2	1	1	1	1	1	1	35000	13	1	-2	2	4	2	2	3	NA	NA	2	1	2	2	NA	2	2	1	1	329.41264	380.79171	361.14841	346.8933	4	1	1
"2820"	15	101.58	66.934	1.36	0.177	16	134.61	64.565	1.986	0.144	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	80.8	1	1	1	1	1	1	1	45000	13	1	-2	2	4	1	1	3	3	2	2	2	2	2	NA	2	1	1	1	329.41264	380.79171	361.14841	346.8933	2	1	1
"2821"	11	57.91	50.619	0.493	0.142	8	92.03	48.54	1.223	0.115	1	1	1	-1	-1	-1	-1	-1	2	-1	1	-1	-1	-1	1	1	70.93	1	1	1	6	6	1	1	70000	18	1	-2	1	4	1	1	3	2	1	2	1	1	2	NA	2	1	1	1	329.41264	380.79171	371.33953	346.8933	6	1	1
"2822"	13	58.66	51.021	0.513	0.142	12	106.88	53.689	1.448	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	79.23	2	5	5	8	8	0	0	35000	13	1	-2	2	4	2	1	3	NA	NA	2	2	1	2	NA	2	2	1	1	329.41264	380.79171	361.14841	346.8933	6	1	1
"2823"	15	95.66	65.089	1.261	0.168	15	130.72	62.906	1.917	0.141	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	76.27	2	2	2	1	1	0	0	40000	15	1	-2	1	4	1	1	3	2	-9	2	2	1	2	NA	2	2	1	1	329.41264	380.79171	358.00611	346.8933	6	1	1
"2824"	16	86.08	62.068	1.095	0.155	15	146.9	70.245	2.219	0.161	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78.33	2	1	1	1	1	2	2	105000	16	1	-2	2	4	1	1	3	2	2	2	2	2	2	NA	2	1	1	1	329.41264	380.79171	361.14841	346.8933	6	1	1
"2826"	11	55.87	49.485	0.428	0.142	6	78.49	43.62	0.98	0.129	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.87	2	1	1	1	1	1	1	-8	10	1	-2	2	4	2	1	3	NA	NA	2	1	2	2	NA	2	1	1	1	329.41264	380.79171	358.00611	346.8933	5	1	1
"2828"	12	51.33	46.751	0.281	0.144	4	69.48	39.835	0.781	0.135	1	-1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	78.83	1	NA	4	NA	4	NA	0	-7	NA	2	-2	1	5	1	1	1	NA	NA	2	1	2	1	1	1	2	1	1	0	0	0	0	NA	1	1
"2830"	13	68.09	55.505	0.755	0.142	4	78.94	43.796	0.996	0.129	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	73.17	2	NA	1	NA	1	NA	1	50000	NA	2	-2	2	5	2	1	1	1	3	2	1	2	2	2	2	2	1	1	0	0	0	0	NA	1	1
"2831"	13	75.54	58.451	0.902	0.146	7	104.56	52.87	1.424	0.124	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	72.43	1	NA	1	NA	1	NA	1	-8	NA	2	-2	2	5	2	1	1	2	1	2	1	1	1	2	2	2	1	1	0	0	0	0	NA	1	1
"2832"	13	62.49	52.962	0.604	0.142	9	102.77	52.247	1.359	0.126	1	-1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	74.07	2	NA	3	NA	4	NA	1	12000	NA	2	-2	2	5	2	1	1	1	2	2	1	2	2	1	2	2	1	1	0	0	0	0	NA	1	1
"2833"	13	69.75	56.199	0.786	0.143	10	97.43	50.402	1.284	0.114	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	76.23	1	NA	1	NA	1	NA	1	40000	NA	2	-2	2	5	1	1	1	NA	NA	2	2	2	1	2	2	2	1	1	0	0	0	0	NA	1	1
"2834"	13	58.95	51.17	0.52	0.142	15	126.45	61.135	1.815	0.139	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	74.4	2	NA	2	NA	1	NA	0	49000	NA	2	-2	1	5	2	1	1	1	1	2	2	2	1	1	2	1	1	1	0	0	0	0	NA	1	1
"2835"	16	101.75	66.986	1.362	0.177	16	143.02	68.365	2.146	0.155	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	73.5	1	NA	1	NA	1	NA	2	22000	NA	2	-2	1	5	2	1	1	1	1	2	1	2	2	1	2	2	1	1	0	0	0	0	NA	1	1
"2836"	11	59.09	51.244	0.523	0.142	7	89.68	47.721	1.186	0.116	1	-1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	75.43	1	NA	3	NA	4	NA	2	-8	NA	2	-2	1	5	1	1	1	2	1	2	2	2	2	1	2	2	1	1	0	0	0	0	NA	1	1
"2837"	13	53.83	48.296	0.355	0.143	14	135.9	65.129	2.004	0.146	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	76.73	1	NA	1	NA	1	NA	3	36000	NA	2	-2	2	5	2	1	1	2	3	2	2	1	1	2	2	2	1	1	0	0	0	0	NA	1	1
"2838"	10	46.65	43.584	0.106	0.148	7	88.53	47.319	1.14	0.116	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	80.03	2	NA	1	NA	2	NA	1	13000	NA	2	-2	2	5	2	1	1	NA	NA	2	1	1	2	2	1	2	1	1	0	0	0	0	NA	1	1
"2839"	11	65.87	54.537	0.702	0.142	13	108.52	54.274	1.503	0.125	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	84.83	1	NA	2	NA	1	NA	0	50000	NA	2	-2	2	5	2	1	1	NA	NA	2	2	2	2	1	2	2	1	1	0	0	0	0	NA	1	1
"2841"	13	61.61	52.529	0.582	0.141	13	111.52	55.36	1.524	0.136	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	81.37	1	NA	1	NA	1	NA	2	36000	NA	2	-2	1	5	2	1	1	NA	NA	2	1	2	1	2	2	2	1	1	0	0	0	0	NA	1	1
"2842"	12	54.25	48.547	0.37	0.143	3	74.87	42.17	0.889	0.131	1	-1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	82.73	1	NA	1	NA	1	NA	1	26000	NA	2	-2	2	5	1	1	1	2	4	2	2	1	2	2	2	2	1	1	0	0	0	0	NA	1	1
"2843"	10	45.21	42.527	0.051	0.15	9	101.87	51.934	1.34	0.123	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	79.9	2	NA	1	NA	1	NA	1	37000	NA	2	-2	1	5	1	1	1	2	4	2	1	1	1	1	2	2	1	1	0	0	0	0	NA	1	1
"2844"	9	40.36	38.7	-0.176	0.166	6	73.72	41.692	0.856	0.132	1	-1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	69.9	1	NA	2	NA	1	NA	0	-8	NA	2	-2	2	5	2	1	2	1	2	2	2	2	2	2	2	2	1	1	0	0	0	0	NA	1	1
"2845"	12	52.59	47.542	0.318	0.144	4	82.38	45.101	1.029	0.128	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	81.9	1	NA	1	NA	1	NA	1	40000	NA	2	-2	1	5	2	1	1	NA	NA	2	1	2	2	2	2	2	1	1	0	0	0	0	NA	1	1
"2846"	11	56.55	49.869	0.451	0.142	11	98.66	50.825	1.309	0.114	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	73.2	2	NA	2	NA	1	NA	0	60000	NA	2	-2	1	5	1	1	1	2	2	2	2	1	2	1	2	1	1	1	0	0	0	0	NA	1	1
"2852"	11	60.34	51.892	0.552	0.142	9	95.78	49.835	1.273	0.116	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	70.2	1	1	1	1	1	2	2	-8	10	1	-2	3	4	2	2	1	NA	NA	2	2	2	1	NA	2	1	1	1	338.98969	290.30494	315.96674	401.22549	6	1	1
"2853"	12	62.83	53.125	0.612	0.142	12	110.2	54.882	1.509	0.136	NA	NA	1	-1	NA	NA	-1	-1	1	-1	1	-1	-1	-1	NA	1	67.93	2	1	1	1	1	1	1	-8	13	1	-2	3	2	2	1	1	1	3	2	2	1	2	NA	NA	NA	1	1	338.98969	266.18475	323.28318	401.22549	5	NA	1
"2856"	11	52.48	47.473	0.314	0.144	7	77.49	43.231	0.97	0.123	-1	1	1	-1	-1	-1	-1	-1	1	-1	2	-1	-1	-1	-1	1	72.07	2	3	3	4	4	3	3	-8	-1	1	-2	3	2	2	1	2	1	1	2	1	2	2	NA	2	2	1	1	338.98969	266.18475	323.28318	401.22549	2	2	2
"2858"	12	76.01	58.623	0.912	0.146	14	121.77	59.258	1.755	0.137	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	71.47	1	1	1	1	1	1	1	-8	13	1	-2	3	2	2	1	1	2	4	2	1	2	2	NA	1	1	1	1	338.98969	290.30494	315.96674	401.22549	2	1	1
"2859"	14	69.82	56.229	0.788	0.143	14	115.98	57.022	1.596	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	74.9	1	1	1	1	1	2	3	-8	17	1	-2	3	2	2	1	1	2	2	2	1	2	1	NA	2	1	1	1	338.98969	290.30494	315.96674	401.22549	0	1	1
"2860"	12	65.31	54.282	0.687	0.142	10	96.07	49.932	1.275	0.122	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.53	2	3	3	4	4	1	1	-8	-1	1	-2	1	3	2	1	1	3	4	2	2	2	1	NA	2	2	1	1	338.98969	290.30494	315.96674	401.22549	0	1	1
"2862"	11	52.35	47.397	0.31	0.144	8	90.26	47.924	1.192	0.122	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.77	1	1	1	1	1	2	2	-8	8	1	-2	1	3	2	1	2	NA	NA	2	1	2	1	NA	1	1	1	1	338.98969	290.30494	315.96674	401.22549	6	1	1
"2863"	8	41.43	39.581	-0.102	0.166	6	71.59	40.776	0.806	0.134	NA	NA	1	-1	NA	NA	-1	-1	1	-1	1	-1	-1	-1	NA	1	72.6	1	1	1	1	1	2	2	-8	17	1	-2	1	3	1	2	1	NA	NA	2	1	2	2	NA	NA	NA	1	1	338.98969	290.30494	315.96674	401.22549	6	NA	1
"2873"	5	26.39	24.968	-0.881	0.204	1	54.76	31.821	0.39	0.16	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	77.23	2	1	3	1	4	1	1	-8	13	1	-2	-9	NA	2	1	NA	NA	NA	2	2	1	2	NA	2	2	1	1	607.61398	294.05443	0	686.68175	-9	1	1
"2874"	10	45.14	42.476	0.049	0.15	4	74.36	41.959	0.884	0.134	1	-1	1	-1	-1	-1	-1	-1	1	-1	2	-1	-1	-1	1	1	72.4	2	3	3	4	4	1	1	-8	-1	1	-2	2	2	2	1	1	NA	NA	2	2	1	2	1	2	2	1	1	158.15384	215.61866	261.87033	192.07029	8	2	2
"2875"	16	105.61	68.207	1.426	0.184	16	145.22	69.418	2.218	0.158	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	68.57	1	4	4	4	4	0	0	-8	-1	1	-2	2	2	2	2	1	1	1	2	1	2	2	2	2	2	1	1	158.15384	235.15683	255.94376	192.07029	-9	1	1
"2876"	11	72.46	57.285	0.833	0.144	9	113.68	56.157	1.593	0.121	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	74.3	1	1	1	1	1	1	1	55000	16	1	-2	2	2	1	1	1	1	4	2	1	2	2	NA	2	1	1	1	158.15384	235.15683	255.94376	192.07029	0	1	1
"2877"	11	50.35	46.118	0.25	0.145	5	74.88	42.175	0.897	0.131	NA	NA	-9	-1	NA	NA	-1	-1	1	-1	2	-1	-1	-1	NA	-9	70.27	1	3	3	4	4	1	1	-8	-1	1	-2	2	2	2	2	3	NA	NA	2	1	2	2	2	NA	NA	1	1	158.15384	215.61866	261.87033	192.07029	5	NA	2
